extra_code,incomecode,financecode,description, cost,vatcode
,8353,MEMORYSTICK,Merchandise: Magnifying Sheets/Bookmarks, £ 2.50 ,S
,8353,MEMORYSTICK,Merchandise: Memory Stick, £ 8.00 ,S
RQ30,8353,FLOPPYDISK,Merchandise: Miscellaneous - Height Chart, £ 5.50 ,S
RQ30,8353,FLOPPYDISK,Merchandise: Miscellaneous - Jigsaw Puzzle, £ 14.99 ,S
RQ30,8353,FLOPPYDISK,Merchandise: Miscellaneous - Mug - Go Away I'm Reading, £ 8.99 ,S
RQ30,8353,STATIONERY,Merchandise: Stationery, £ -   ,S
RQ30,8353,STATIONERY,"Merchandise: Stationery - Centenary: lined notebook (black), ", £ 4.99 ,S
RQ30,8353,STATIONERY,"Merchandise: Stationery - Centenary: lined notebook (gold), 1", £ 4.99 ,S
RQ30,8353,STATIONERY,"Merchandise: Stationery - Centenary: plain wiro notepad, Libr", £ 3.99 ,S
RQ30,8353,STATIONERY,Merchandise: Stationery - Centenary: tote bag, £ 4.99 ,S
RQ30,8353,STATIONERY,Merchandise: Stationery - Inspirational Quote Pen, £ 2.50 ,S
RQ30,8353,STATIONERY,Merchandise: Stationery - Pencil People, £ 1.99 ,S
RQ30,8353,STATIONERY,Merchandise: Stationery - Slant pads (Andrew Dandridge), £ 3.99 ,S
RQ30,8353,STATIONERY,Merchandise: Stationery - Space Shuttle Set, £ 4.99 ,S
RQ30,8353,STATIONERY,Merchandise: Stationery - Sticky Notes - Cat/Dog, £ 4.99 ,S
RQ30,8353,STATIONERY,Merchandise: Stationery - Transparent Sticky Notes, £ 3.29 ,S
,8353,WALLCHART,Merchandise: Wall charts, £ 1.50 ,S
,8623,MISC,Miscellaneous Income,,S
,8623,MISCNONVAT,Miscellaneous Income non VAT,,O
,8501,FINES,Overdue charges (fines), £ -   ,O
,8620,COURT,Overdue charges: Court costs, £ -   ,O
,8501,FINES,Overdue charges: fallback charges, £ -   ,O
,8507,PHOTOCOP,Photocopying, £ -   ,S
,8623,LOCALPRINT,Printing: Local Society Printouts, £ -   ,S
,8623,LOCALPRINT,Printing: Microprints, £ 0.25 ,S
,8623,LOCALPUB,Publications for Sale: Books, £ -   ,Z
,8623,READINGGR1,Reading Group - 1 year Jan-Dec, £ 38.00 ,S
,8623,READINGGR3,Reading Group - 3 months Oct-Dec, £ 9.50 ,S
,8623,READINGGR6,Reading Group - 6 months Jul-Dec, £ 19.00 ,S
,8623,READINGGR9,Reading Group - 9 months Apr-Dec, £ 28.50 ,S
,8623,REPTICK,Replacement Library Card, £ 2.10 ,O
,8502,REQUEST,Reservation charges: request, £ 1.00 ,O
,8502,REQUEST,Reservation charges: request British Library, £ 12.50 ,O
,8502,REQUEST,Reservation charges: request British Library renewal, £ 6.25 ,O
,8502,REQUEST,Reservation charges: request Inter-Library Loan (ILL), £ 7.75 ,O
,8502,SELFBOOK,Reservation charges: request online (SELFBOOK),,O
,8502,STAFFBOOK,Reservation charges: request via staff (SELFBOOK),,O
,8461,ROOM,Room Hire - Group 1: Community, £ -   ,E
,8461,ROOM,Room Hire - Group 2: Business, £ -   ,E
,8461,ROOM,Room Hire - Group 3: Commercial, £ -   ,E
,8461,ROOM,Room Hire - Pod 1: Large (8-seater), £ -   ,E
,8461,ROOM,Room Hire - Pod 2: Small (3-seater), £ -   ,E
,8461,ROOMVAT,Room Hire Including VAT - Group 1: Community, £ -   ,S
,8461,ROOMVAT,Room Hire Including VAT - Group 2: Business, £ -   ,S
,8461,ROOMVAT,Room Hire Including VAT - Group 3: Commercial, £ -   ,S
,8461,ROOMINS,Room Hire Insurance,,E
,8461,ROOMOOH,Room Hire Out of Hours Cover,,E
RQ40,8623,SCHOOLSLIB,Schools Library Service, £ -   ,E
,8623,PAYPHONE,Telephone charges, £ -   ,S
,8350,A/V SALE,Withdrawn A/V for sale, £ -   ,S
,8350,BOOKSALE,Withdrawn books for sale, £ -   ,Z
,8623,POSURPLUS,Z: Post Office Surplus (ONLY USE IF ADVISED),,O
